工	aaaa
鹂	gmyg
逦	gmyp
丽	gmyy
珉	gnan
琚	gndg
珝	gng
与	gngd
欤	gngw
瑕	gnhc
瑂	gnhg
玘	gnn
玚	gnrt
珌	gntt
璆	gnwe
玦	gnwy
瓦	gnny
慭	godn
严	godr
戬	goga
鄑	gogb
亚	gogd
垩	gogf
晋	gogj
恶	gogn
璞	gogw
灭	goi
来	goi
赉	gomu
琰	gooy
璘	goqh
𤫉	gyoc
琮	gpfi
瑄	gpgg
琔	gpgh
珲	gplh
琯	gphn
琬	gpqb
瑢	gpwk
琛	gpws
殣	gqag
殛	gqbg
殆	gqck
殍	gqeb
殂	gqeg
殖	gqfh
殪	gqfu
残	gqfy
歹	gqi
𬍛	gqiy
裂	gqje
珣	gqjg
䴕	gqjg
列	gqjh
虺	gqji
烈	gqjo
殒	gqkm
殁	gqmc
殃	gqmd
殡	gqpw
殉	gqqj
殊	gqri
聱	gqtb
珋	gqtb
骜	gqtc
獒	gqtd
歼	gqtf
鳌	gqtp
螯	gqtj
赘	gqtm
嶅	gqtm
熬	gqto
遨	gqtp
鏊	gqtq
殇	gqtr
敖	gqty
殚	gquf
兀	gqv
琤	gqvh
殄	gqwe
餮	gqwe
殓	gqwi
死	gqxb
玖	gqyy
玓	gqyy
碧	grdf
珀	grg
瑝	grgg
珠	griy
瑔	griy
瑰	grqc
璬	grot
玎	gsh
末	gsi
珂	gskg
琳	gssy
琇	gtet
珩	gtfh
瓒	grqm
珽	gtfp
麸	gqfw
珞	gtkg
瑀	gtky
璁	gtln
珦	gtmk
璠	gtol
麹	gtqo
麦	gtu
玫	gty
瑳	guda
璲	guep
平	gufk
璋	gujh
𤧛	guph
郏	gudb
夹	gudi
颊	gudm
珢	gvey
珒	gvfh
𬍤	gvfy
郪	gvhb
妻	gvhv
琭	gviy
玿	gvkg
珺	gvtk
瑙	gvtq
玳	gway
玱	gwbn
瑖	gwdc
珍	gwet
瑜	gwgj
璒	gogu
玠	gwjh
玢	gwvn
玲	gwyc
琟	gwog
琀	gwyk
瑑	gxey
纛	gxfi
互	gxgd
毒	gxgu
素	gxiu
夷	gxwi
玭	gxxn
璃	gybc
琉	gyck
珫	gycq
斑	gygg
玉	gyi
琼	gyiy
瓖	gyke
璮	gylg
班	gytg
璇	goth
琅	gyve
瑭	gyvk
玹	gyxy
玟	gyy
虐	haag
遽	haep
眶	hagg
甗	hagy
瞒	hagw
虞	hakd
瞄	halg
虏	hale
彪	hame
虤	hamm
虎	hamv
虑	hani
虚	haog
觑	haoq
眍	haqy
虔	hayi
颇	hcdm
皮	hci
眙	hckg
眸	hcrh
睃	hcwt
睚	hdff
䴗	hdqg
瞭	hdui
眬	hdxy
肯	hef
瞬	heph
睬	hesy
瞌	hfcl
歧	hfcy
眭	hffg
瞋	hfhw
睹	hfjg
睦	hfwf
盹	hgbn
睛	hgeg
盱	hsh
眄	hghn
凸	hghg
睐	hgoy
睫	hgvh
上	hhgg
止	hhhg
目	hhhh
卡	hhu
𨟠	hhwb
矍	hhwc
氍	hhwn
瞿	hhwo
眦	hhxn
卜	hhy
督	hich
叔	hicy
颦	hidf
频	hidm
睄	hieg
瞠	hipf
眺	hqiy
步	hir
眇	hitt
旧	hjg
卓	hjj
逴	hjpk
桌	hjsu
战	hkay
占	hkf
觇	hkmq
乩	hknn
点	hkou
卣	hlnf
鹾	hlqa
卤	hlqi
𪾢	hmqn
贞	hmu
眠	hnan
瞰	hnbt
颅	hndm
鼎	hndn
卢	hne
鸬	hnqg
瞩	hnty
忐	hnu
瞵	hoqh
䁖	hovg
眯	hoy
瞎	hpdk
壑	hpgf
睿	hpgh
瞑	hpju
眈	hpqn
餐	hqce
粲	hqco
睎	hqdh
瞻	hqdy
眵	hqqy
盷	hqug
睁	hqvh
睥	hrtf
瞟	hsfi
盯	hsh
瞫	hsjh
眊	htfn
睡	htgf
瞅	htoy
眨	htpy
瞳	hujf
睇	huxt
眼	hvey
瞍	hehc
睨	heqn
龄	hwbc
龈	hwbe
龌	hwbf
龃	hwbg
龊	hwbl
𬺓	hwbh
齿	hwbj
𬹼	hwbj
龉	hwbk
龆	hwbk
𬺈	hwbk
龅	hwbn
龁	hwbn
𫠜	hwbq
龂	hwbr
龀	hwbx
龇	hwbx
龋	hwby
睽	hogd
睑	hwgi
瞪	hogu
具	hwu
盼	hwvn
睢	hwog
瞧	hwoo
些	hxff
赀	hxmu
此	hxn
觜	hxqh
𫚖	hxpf
柴	hxsu
雌	hxwo
紫	hxxi
訾	hxyf
眩	hyxy
漭	iada
湛	iadn
澌	iadr
淇	iadw
潵	iaet
泔	iafg
江	iag
洭	iagg
懑	iagn
满	iagw
漠	iajd
灌	iako
潢	iamw
汇	ian
泄	iann
渠	ians
渫	ians
潆	iapi
涝	iapl
溁	iaps
滢	iapy
鸿	iaqg
沤	iaqy
柒	iasu
浇	iatq
潇	iavj
沏	iavt
濩	iawc
溚	iawk
港	iawn
洪	iawy
滠	ibcc
洱	ibg
滍	ibhj
涵	ibib
凼	ibk
泐	iblt
池	ibn
氾	ibn
漋	ibtg
滁	ibww
泾	icag
潏	icnk
滪	icnm
渗	icde
涌	iceh
泽	icfh
治	ickg
沇	icqn
涘	ictd
浚	icwt
滩	icwo
汉	icy
溞	icyj
汊	icyy
湖	ideg
洧	ideg
涯	idff
溽	idff
洿	idfn
沽	idg
滟	idhc
沣	idhh
尜	idiu
淹	idjn
沥	idlt
湎	idmd
𬇕	idnt
源	idri
涛	idtf
尖	idu
潦	idui
㵐	iduw
溱	idwt
泷	idxy
㳚	idyy
汰	idyy
浮	iebg
淝	iecn
淜	ieeg
肖	ief
湲	iefc
沮	iegg
削	iejh
逍	iepd
淫	ietf
滔	ieeg
溪	iexd
汲	ieyy
涿	ieyy
灞	ikae
𣸣	ifam
溘	ifcl
法	ifcy
沄	ifcg
濡	ikdj
尘	iff
洼	iffg
汁	ifh
汗	ifh
滇	ifhw
潮	ifje
汫	ifjh
瀚	ifjn
澎	ifke
澍	ifkf
洁	ifkg
渎	ifnd
𣲗	ifnh
污	ifnn
浡	ifpb
瀔	ifpc
溹	ifpi
渤	ifpl
沅	ifqn
𣲘	ifqn
涍	ifbg
渚	ifjg
洘	ifgn
漖	ifbt
澪	ikwc
潜	ifwj
汧	igah
沌	igbn
添	igdi
溥	igef
清	igeg
浦	igey
汪	igg
潖	iggc
沔	ighn
漹	igho
洹	igjg
浭	igjq
浯	igkg
滞	igkh
滆	igkh
涑	igki
濑	igkm
漱	igkw
沛	igmh
洓	igmi
漕	igmj
渍	igmy
溍	igoj
涞	igoy
洌	igqj
沫	igsy
浅	ifxy
泙	iguf
浃	igud
澽	ihae
滹	ihah
滤	ihan
婆	ihcv
波	ihcy
泪	ihg
沚	ihg
灈	ihho
淑	ihic
濒	ihim
涉	ihit
渺	ihit
淖	ihjh
沾	ihkg
浈	ihmy
泸	ihnt
瀣	ihqg
小	ihty
濉	ihwo
泚	ihxn
消	iieg
水	iiii
淼	iiiu
淌	iimk
洮	iqiy
洸	iiqn
裟	iite
鲨	iitg
挲	iitr
沙	iitt
娑	iitv
瀑	ijai
沓	ijf
涅	ijfg
浬	ijfg
汩	ijg
汨	ijg
淏	ijgd
湜	ijgh
浉	ijgh
滉	ijiq
漫	ijlc
温	ijlg
溻	ijng
湿	ijog
渴	ijqn
滥	ijtl
混	ijxx
浊	ijy
灏	ijym
浥	ikcn
涓	ikeg
呇	ikf
潞	iltk
溃	ikhm
浞	ily
渑	ikjn
漶	ikkn
澡	ikks
涡	ikmw
涢	ikmy
潩	ilaw
涸	ildg
瀱	ildj
洇	ildy
渭	ileg
溷	iley
涠	ilfh
泗	ilg
沺	ilg
澴	ilge
淠	ilgj
𬇹	ilgy
洄	ilkg
泇	ilkg
涟	ilpy
渐	ilrh
泅	ilwy
漯	ilxi
澧	imau
淟	imaw
没	imcy
湍	imdj
泱	imdy
滑	imeg
油	img
洞	imgk
涄	imgn
溅	imfy
溦	imgt
澂	imgt
汕	imh
测	imjh
尚	imkf
沿	imkg
泂	imkg
氅	imkn
敞	imkt
漴	impi
沨	imqy
涔	imwn
汭	imwy
漼	imwo
𬇙	imy
湣	inaj
泯	inan
潺	inbb
澉	inbt
汛	infh
漏	inky
渥	ingf
汈	ingg
湑	inhe
湄	inhg
澼	inkf
涮	inmj
汜	inn
烫	inro
汤	inrt
𬍡	inry
湉	intd
泌	intt
泼	inty
漻	inwe
濯	inwo
泥	inxn
沁	iny
浕	inyu
瀵	iolw
淡	iooy
潾	ioqh
溇	iovg
洣	ioy
黉	ipaw
学	ipbf
敩	ipbt
𬒈	ipdf
浓	ipey
尝	ipfc
淙	ipfi
浣	ipfq
泻	ipgg
渲	ipgg
淀	ipgh
演	ipgw
溟	ipju
䣘	ipkb
裳	ipke
堂	ipkf
常	ipkh
赏	ipkm
党	ipkq
掌	ipkr
棠	ipks
牚	ipkt
浑	iplh
峃	ipmj
沉	ipmn
觉	ipmq
涫	iphn
涴	ipqb
鲎	ippf
沈	ipqn
滨	iprw
泞	ipsh
喾	iprk
滓	ipuf
溶	ipwk
滘	ipwk
深	ipws
沱	ipxn
泜	iqay
光	iqb
汹	iqbh
沟	iqcy
洈	iqdb
淆	iqde
浠	iqdh
𫖯	qidm
澹	iqdy
澥	iqeh
鼗	iqfc
淦	iqg
渔	ipg
澛	ipjg
泺	iqiy
洵	iqjg
泃	iqkg
洺	iqkg
浼	iqkq
涣	iqmd
泡	iqnn
耀	iqno
辉	iqpl
逃	qipi
淘	iqrm
淴	iqrn
泖	iqtb
潴	iefj
漪	iedk
兆	qii
㴔	iqvn
汐	iqy
溜	iqyl
汋	iqyy
湃	irdf
派	irey
泊	irg
湟	irgg
浜	irgw
沂	irh
洙	iriy
汽	irnn
浙	irrh
溵	irvc
激	irot
湮	isfg
漂	isfi
洒	isg
酒	isgg
汀	ish
湘	ishg
渣	isjg
潭	isjh
河	iskg
淅	isrh
潸	isse
濋	issw
漤	issv
淋	issy
溧	issy
淞	iswc
漆	iswi
沐	isy
沭	isyy
洚	itah
活	itdg
浲	itdh
鋈	itdq
沃	itdy
浩	irkg
洗	irqn
溴	ithd
省	ithf
洎	ithg
濞	ithj
涎	ithp
潲	itie
浰	itjh
洛	itkg
劣	itlr
洫	itlg
澳	itmd
汔	itnn
渊	itoh
潘	itol
湫	itoy
泛	itpy
少	itr
涐	itry
涤	itsy
滗	ittn
海	itxu
洴	iuah
溯	iube
滚	iuce
溠	iuda
洋	iudh
湔	iuej
泮	iufh
泣	iug
渼	iugd
润	iugg
漾	iugi
澜	iugi
潼	iujf
涧	iujg
漳	iujh
涪	iukg
滴	iumd
湴	iuog
潽	iuoj
滂	iupo
滧	iuqt
洨	iuqy
浐	iutt
溢	iuwl
涕	iuxt
滋	iuxx
溉	ivcq
当	ivf
津	ivfh
浔	ivfy
汝	ivg
溲	iehc
渌	iviy
沼	ivkg
洳	ivkg
淄	ivlg
氿	ivn
浸	ivpc
潟	ieqo
染	ivsu
粱	ivwo
梁	ivws
涩	ivyh
沧	iwbn
滃	iwcn
洑	iwdy
脊	iwef
鹡	iweg
浍	iwfc
举	iwfh
漈	iwfi
渰	iwga
瀹	iwga
㽏	iwgf
渝	iwgj
洽	iwgk
潋	iwgt
澄	iogu
滫	iwhe
浟	iwht
濮	iwow
滏	iwqu
㳇	iwqy
溆	iwsc
涂	iwsw
兴	iwu
湓	iwvl
汾	iwvt
洢	iwvt
浴	iwwk
沦	iwxn
泠	iwyc
雀	iwof
誉	iwyf
淮	iwog
浛	iwyk
泓	ixcy
沸	ixjh
涨	ixty
溺	ixuu
潍	ixwo
沘	ixxn
湝	ixxr
渡	iyac
漷	iybb
漓	iybc
淳	iybg
淯	iyce
流	iyck
鎏	iycq
㳘	iycq
澈	iyct
瑬	iycy
注	iygg
汴	iyhy
瀍	iyjf
浏	iyjh
济	iyjh
瀼	iyke
澶	iylg
沩	iyly
沆	iymn
泳	iyni
瀌	iyno
沪	iynt
漉	iynx
瀛	iyny
滦	iyos
湾	iyox
濠	iype
渟	iyps
游	iotb
浒	iytf
洲	iyth
漩	ioth
濂	iyuo
浪	iyve
溏	iyvk
淬	iywf
淤	iowu
液	iywy
泫	iyxy
澭	iyxo
汶	iyy
蟒	jada
蜞	jadw
蚶	jafg
虹	jag
螨	jagw
蚜	jaht
𬟽	jaiy
蟆	jajd
蜡	jajg
蝘	jajv
蜮	jakg
暵	jakw
蟥	jamw
蝶	jans
蠓	jape
蝾	japs
晓	jatq
蛲	jatq
蟏	javj
蠖	jawc
暴	jawi
最	jbcu
虸	jbg
蜢	jblg
昪	jcaj
肾	jcef
蛹	jceh
坚	jcff
蛏	jcfg
蚂	jcg
贤	jcmu
蚆	jcn
蛑	jcrh
竖	jcuf
晙	jcwt
紧	jcxi
蛎	jddn
蝴	jdeg
晨	jdfe
蝰	jdff
蛄	jdg
蚌	jdhh
晟	jdny
螈	jdri
蝽	jdwj
昃	jdwu
昽	jdxy
蜉	jebg
暖	jefc
㬊	jefc
明	jeg
蛆	jegg
盟	jelf
曌	jepa
暧	jepc
野	jfch
墅	jfcf
蜐	jfcl
昙	jfcu
里	jfd
蠕	jkdj
蛙	jffg
旰	jfh
虷	jfh
昧	jfiy
旱	jfj
蟛	jfke
暿	jfkk
蝻	jfmf
𬀩	jfnh
暑	jfjf
蚨	jfwy
时	jfy
蛭	jgcf
晊	jgcf
昊	jgdu
晴	jgeg
蜻	jgeg
晡	jgey
旦	jgf
旴	jsh
旺	jgg
韪	jghh
题	jghm
是	jghu
匙	jghx
虾	jghy
量	jgjf
晅	jgjg
蟪	jgjn
晤	jgkg
䗖	jgkh
蝲	jgkj
蝠	jgkl
暕	jgli
师	jgmh
螬	jgmj
昺	jgmw
蛃	jgmw
蚲	jguf
蛱	jgud
冒	jhf
蠼	jhhc
晫	jhjh
申	jhk
勖	jhlt
曰	jhng
早	jhnh
畅	jhnr
虫	jhny
蛸	jieg
螳	jipf
晃	jiqb
晁	jiqb
曝	jjai
昌	jjf
蛳	jjgh
晶	jjjf
日	jjjj
蝎	jjqn
蜴	jjqr
蜾	jjsy
蜎	jkeg
蜈	jkgd
冔	jksj
蝇	jkjn
蜗	jkmw
曼	jlcu
蛊	jlf
曙	jlfj
蝈	jlgy
蛔	jlkg
蠋	jlqj
螺	jlxi
蛐	jmag
晪	jmaw
映	jmdy
蚺	jmfg
蜩	jmfk
蚰	jmg
帅	jmhh
颙	jmhm
愚	jmhn
遇	jmhp
禺	jmhy
旵	jmj
虮	jmn
蚬	jmqn
𬀪	jmqn
蚋	jmwy
暅	jngg
暇	jnhc
虬	jnn
遢	jnpd
旸	jnrt
电	jnv
曜	jnwo
昵	jnxn
显	jogf
晱	jooy
炅	jou
蝼	jovg
暄	jpgg
暝	jpju
螟	jpju
晖	jplh
晕	jplj
蜿	jpqb
晏	jpvf
蛇	jpxn
昂	jqbj
晞	jqdh
蟾	jqdy
昫	jqkg
煦	jqko
晚	jqkq
冕	jqkq
剔	jqrj
易	jqrr
昒	jqrt
昴	jqtb
昀	jqug
鹖	jqwg
曷	jqwn
遏	jqwp
歇	jqww
昄	jrcy
蚯	jrgg
蝗	jrgg
昕	jrh
蛛	jriy
蜱	jrtf
昳	jrwy
颗	jsdm
螵	jsfi
晒	jsg
果	jsi
蟫	jsjh
夥	jsqq
晰	jsrh
蜥	jsrh
杲	jsu
昇	jtaj
蛞	jtdg
蜂	jtdh
蜘	jtdk
旿	jtfh
蚝	jtfn
蜓	jtfp
戥	jtga
星	jtgf
曛	jtgo
昨	jthf
蚱	jthf
晷	jthk
螅	jthn
蜒	jthp
蜊	jtjh
蝮	jtjt
晌	jtmk
虼	jtnn
蟠	jtol
蟋	jton
蛾	jtry
䗴	jttp
蝌	jtuf
晦	jtxu
临	jtyj
监	jtyl
览	jtyq
鉴	jtyq
蜷	judb
蛘	judh
蟮	judk
蜣	judq
昱	juf
蚪	jufh
曦	jugy
蝉	jujf
曈	jujf
暗	jujg
蟑	jujh
暲	jujh
蜕	jukq
螃	jupo
蛟	juqy
蝤	jusg
螠	juwl
旯	jvb
归	jvg
螋	jehc
昭	jvkg
照	jvko
蚣	jwcy
昣	jwet
暌	jogd
蝓	jwgj
蛤	jwgk
䗛	jwhe
蚧	jwjh
蜍	jwsw
晔	jwxf
蛉	jwyc
昤	jwyc
晗	jwyk
暹	jwop
曳	jxe
蚓	jxhh
蚴	jxlt
昆	jxxb
鹍	jxxg
蚍	jxxn
㬎	jxxo
螭	jybc
暾	jybt
㬚	jyct
蛀	jygg
影	jyie
颢	jyim
景	jyiu
晾	jyiy
蛴	jyjh
曩	jyke
昉	jot
蚄	jot
蝙	jyna
虻	jynn
昈	jynt
晐	jynw
蚁	jyqy
旷	jyt
蝣	jotb
暶	joth
旻	jyu
蠊	jyuo
螂	jyvb
㫰	jyve
螗	jyvk
蟀	jyxf
昡	jyxy
蚊	jyy
喏	kadk
嘶	kadr
嘞	kakl
哐	kagg
呀	kaht
噶	kajn
喵	kalg
咂	kamh
唝	kamy
呓	kann
喋	kans
唠	kapl
呕	kaqy
哎	kaqy
哓	katq
嚄	kawc
嗒	kawk
嗬	kawk
哄	kawy
嚆	kayk
嗫	kbcc
咡	kbg
叩	kbh
嗤	kbhj
咄	kbmh
吼	kbnn
戢	kbxy
啊	kbsk
邑	kcb
啜	kccc
嗓	kccs
嗵	kcep
吗	kcg
咍	kckg
吧	kcn
吮	kcqn
哞	kcrh
唉	kctd
唆	kcwt
叹	kcy
呃	kdbn
喹	kdff
咕	kdg
喊	kdgy
嘎	kdha
嗄	kdht
嘁	kdhy
啡	kjdd
喱	kdjf
唵	kdjn
呖	kdlt
顺	kdmy
咴	kdoy
哒	kdpy
𠳐	kdtb
嘹	kdui
噘	kduw
唪	kdwh
嗪	kdwt
咙	kdxy
吠	kdy
呔	kdyy
咀	kegg
嚼	kelf
嗳	kepc
鹃	keqg
吸	keyy
啄	keyy
喷	kfam
嗑	kfcl
吱	kfcy
嚅	kkdj
哇	kffg
吐	kfg
叶	kfh
嗔	kfhw
味	kfiy
嘲	kfje
嘭	kfke
嘻	kfkk
鄙	kflb
喃	kfmf
哧	kfoy
哱	kfpb
嚏	kfph
嗦	kfpi
噎	kfpu
呒	kfqn
哮	kfbg
嘟	kfjb
嗜	kfxj
啫	kfjg
呋	kfwy
嚯	kkwo
哢	kgah
郢	kgbh
吨	kgbn
咥	kgcf
吴	kgdu
哺	kgey
呈	kgf
吁	ksh
吓	kghy
呸	kdhg
咺	kgjg
哽	kgjq
囔	kfke
唔	kgkg
嗝	kgkh
喇	kgkj
嗽	kgkw
嘈	kgmj
啧	kgmy
号	kgnb
饕	kgne
鸮	kgng
哑	kgog
逞	kgpd
咧	kgqj
嗷	kgqt
唛	kgty
嗉	kgxi
咦	kgxw
噱	khae
嘘	khag
躇	lafj
唬	kham
距	lang
跷	latq
蹀	lans
蹒	lagw
躏	lauo
蹑	lbcc
踊	lceh
跆	lckg
蹂	lcns
跋	ldcy
踌	ldtf
蹰	ldgf
跖	ldg
蹽	ldui
踦	ldsk
跨	ldfn
跶	ldpi
蹶	lduw
蹊	lexd
啃	kheg
踩	lesy
蹈	leeg
趿	leyy
跂	lfcy
跬	lffg
跱	lffy
趺	lfwy
趼	lgah
贵	khgm
遗	khgp
遣	khgp
践	lfxy
跛	lhcy
趾	lhg
踔	lhjh
跐	lhxn
咔	khhy
蹐	liwe
蹚	lipf
踏	lijg
跳	lqiy
踶	ljgh
蹋	ljng
踢	ljqr
踝	ljsy
中	khk
躁	lkks
盅	khlf
躅	llqj
跏	llkg
蹦	lmee
跚	lmmg
踹	lmdj
跺	lmsy
踞	lndg
跽	lnny
忠	khnu
躞	lyoc
蹼	logw
蹿	lpwh
踪	lpfi
蹜	lpwj
跎	lpxn
跪	lqdb
跞	lqiy
跑	lqnn
趵	lqyy
踬	lrfm
跌	lrwy
蹅	lsjg
跃	ltdy
踵	ltgf
鹭	ltkg
路	ltkg
踟	ltdk
蹯	ltol
躜	lrqm
跹	ltfp
跣	lrqn
踒	ltvy
踽	ltky
足	lhny
蹉	luda
踯	ludb
蹢	lumk
蹲	lusf
蹄	luph
蹭	lulj
踣	lukg
跤	luqy
跟	lvey
躐	lvln
踺	lvfp
啮	khwb
跄	lwbn
跗	lwfy
蹬	logu
趴	lwy
嘴	khxh
跸	lxxf
呲	khxn
𧿹	lxgu
卟	khy
蹁	lyna
踱	lyac
踉	lyve
躔	lyjf
跻	lyjh
踮	lyhk
蹴	lyin
蹾	lybt
哨	kieg
啵	kihc
唢	kimy
嘡	kpkf
咣	kiqn
吵	kitt
嗨	kitu
嘬	kjbc
哩	kjfg
呻	kjhh
唱	kjjg
喁	kjmy
黾	kjnb
𫑡	kjnb
喝	kjqn
虽	kju
嚚	kkak
骂	kkcf
器	kkdk
嚣	kkdk
哭	kkdu
吕	kkf
鄂	kkfb
鹗	kkfg
颚	kkfm
串	kkhk
患	kkhn
品	kkkf
口	kkkk
噪	kkks
鼍	kkln
咒	kkmb
斝	kkpf
另	klr
嗯	kldn
咽	kldy
喟	kleg
嘿	klfo
啭	klfy
喂	klge
呷	klh
别	kljh
咖	klkg
叻	klt
啰	klqy
嗣	kmak
郧	kmbh
喘	kmdj
咉	kmdy
嘣	kmee
啁	kmfk
哃	kmgk
吊	kmhj
勋	kmlt
嘤	kmmv
叽	kmn
哕	kmqy
哚	kmsy
员	kmu
剐	kmwj
呙	kmwu
呐	kmwy
呗	kmy
喔	kngf
叼	kngg
叫	knhh
噼	knkf
唰	knmj
噀	knnw
咇	kntt
嘱	knty
呢	knxn
吣	kny
噗	kogw
啖	kooy
喽	kovg
咪	koy
嗐	kpdk
哝	kpey
噻	kpff
喧	kpgg
啶	kpgh
嘧	kpnm
咛	kpsh
咤	kpta
喀	kptk
嚓	kpwi
兄	kqb
唏	kqdh
噜	kpjg
史	kqi
唤	kqmd
呜	kqng
咆	kqnn
哆	kqqy
啕	kqrm
唿	kqrn
吻	kqrt
吹	kqwy
鸣	kqyg
唣	kran
呱	krcy
嗥	krdf
哌	krey
喤	krgg
听	krh
吽	krhh
啪	krrg
哳	krrh
啤	krtf
啦	krug
嘌	ksfi
哂	ksg
叮	ksh
喳	ksjg
呵	kskg
噤	kssi
啉	kssy
呆	ksu
吒	ktan
噬	ktaw
唾	ktgf
嗅	kthd
咋	kthf
咱	kthg
川	kthh
嘚	ktjy
咯	ktkg
噢	ktmd
响	ktmk
吃	ktnn
啾	ktoy
哦	ktry
呼	ktuf
咚	ktuy
嗍	kube
嗟	kuda
咩	kudh
吖	kuhh
啴	kujh
噇	kujf
喑	kujg
噫	kujn
噌	kulj
嘀	kumd
㘎	kunt
啼	kuph
咬	kuqy
噂	kusf
唼	kuvg
嗌	kuwl
嗞	kuxx
唧	kvcb
呶	kvcy
哏	kvey
哪	kvfb
嗖	kehc
啸	kvij
叨	kvt
呛	kwbn
嗡	kwcn
哙	kwfc
啥	kwfk
咐	kwfy
喻	kwgj
哈	kwgk
噔	kogu
喉	kwnd
嗲	kwqq
㕮	kwqy
咻	kwsy
只	kwu
吩	kwvt
咿	kwvt
唑	kwwf
哗	kwxf
叭	kwy
呤	kwyc
噙	kwyc
唯	kwog
吟	kwyn
噍	kwoo
喙	kxey
呣	kxgu
吲	kxhh
呦	kxlt
叱	kxn
哟	kxqy
哔	kxxf
咝	kxxg
吡	kxxn
喈	kxxr
吆	kxy
哼	kybh
唷	kyce
唁	kyg
嚷	kyke
吭	kymn
唳	kynd
咏	kyni
咳	kynw
嚎	kype
嘛	kyss
嗾	kotd
啷	kyvb
啐	kywf
轼	laag
羁	lakc
墼	gjff
辄	lbnn
轻	lcag
𫐓	lcns
辍	lccc
轰	lccu
畯	lcwt
轭	ldbn
固	ldd
囿	lded
罟	ldf
轱	ldg
因	ldi
罪	ljdd
罨	ldjn
恩	ldnu
罽	ldoj
畸	ldsk
畴	ldtf
辏	ldwd
畎	ldy
轪	ldy
胃	lef
罴	lfco
罢	lfcu
畦	lffg
畤	lffy
轩	lfh
置	lfhf
辕	lfke
罱	lfmf
围	lfnh
转	lfny
默	lfod
黩	lfod
黪	lfoe
墨	lfof
黥	lfoi
黯	lfoj
黠	lfok
黝	lfol
黜	lfom
黔	lfon
黟	lfoq
黢	lfot
黑	lfou
园	lfqv
团	lfte
署	lfjf
圉	lfuf
囤	lgbn
轾	lgcf
圊	lged
畏	lgeu
圃	lgey
辅	lgey
罡	lghf
罘	ldhu
畀	lgjj
圄	lgkd
鹮	lgkg
辐	lgkl
翾	lgkn
辆	lgmw
车	lgnh
𫐄	lgqn
国	lgyi
罩	lhjj
皿	lhng
四	lhng
甲	lhnh
轳	lhnt
𨐈	liqn
辒	ljlg
辊	ljxx
辑	lkbg
驾	lkcf
回	lkd
加	lkg
圆	lkmi
贺	lkmu
迦	lkpd
哿	lksk
架	lksu
轵	lkwy
袈	lkye
男	llr
圜	llge
田	llll
罍	lllm
勰	llln
圐	lloe
圌	lmdj
轴	lmg
辋	lmun
辗	lnae
翈	lng
轧	lnn
思	lnu
疁	lnwe
罹	lnwo
辚	loqh
辖	lpdk
连	lpk
畹	lpqb
边	lpe
𬨂	lqan
轹	lqiy
蜀	lqju
逻	lqpi
囫	lqre
罗	lqu
软	lqwy
鸭	lqyg
罶	lqyl
畈	lrcy
畖	lrcy
堑	lrff
斩	lrh
暂	lrjf
錾	lrqf
椠	lrsu
轶	lrwy
町	lsh
困	lsi
轲	lskg
轿	ltdj
辀	ltey
囷	lti
略	ltkg
辂	ltkg
力	lnt
轷	ltuf
图	ltui
畋	lty
圈	ludb
𫟦	luep
畔	lufh
疃	lujf
罾	lulj
较	luqy
𬨎	lusg
囡	lvd
轺	lvkg
辎	lvlg
轨	lvn
𫐐	leqn
轫	lvyy
圙	lwdd
轸	lwet
畛	lwet
辁	lwgg
输	lwgj
办	lwi
囚	lwi
界	lwjj
轮	lwxn
囵	lwxv
囹	lwyc
累	lxiu
毗	lxxn
辙	lyct
詈	lyf
辌	lyiy
罚	lyjj
辘	lynx
曲	mad
嵁	madn
贼	madt
嵌	mafw
岈	maht
岽	maiu
岠	mang
㠓	mape
崂	mapl
嵘	maps
岖	maqy
峣	matq
典	mawu
邮	mbh
崡	mbib
岜	mcb
峄	mcfh
凤	mci
贻	mckg
殳	mcu
峻	mcwt
贿	mdeg
岩	mdf
赈	mdfe
崖	mdff
岸	mdfj
岵	mdg
崴	mdgy
嵅	mdgy
央	mdi
崦	mdjn
𫵷	mdlt
盎	mdlf
𪨶	mdlj
耑	mdjj
颛	mdmm
遄	mdmp
𬱖	mdmy
炭	mdou
鸯	mdqg
崎	mdsk
骷	medg
髓	medp
崩	meef
骨	mef
胄	mef
岨	megg
髁	mejs
髃	mejy
髑	melj
骰	memc
髎	mene
髅	meov
髂	mepk
髋	mepq
髌	mepw
鹘	meqg
骶	meqy
髀	merf
骺	merk
骼	metk
骱	mewj
岌	meyu
骸	meyw
岐	mfcy
冉	mfd
崶	mfff
峙	mffy
巅	mfhm
赇	mfiy
周	mfkd
雕	mfko
𪩘	mfmd
赎	mfnd
䎃	mfng
崁	mfqw
赌	mfjg
财	mftt
崚	mfwt
赋	mgah
岍	mgah
赙	mgef
峘	mgjg
同	mgkd
峿	mgkg
𫶇	mgkh
屿	mgng
崃	mgoy
夙	mgqi
峛	mgqj
屼	mgqn
贱	mfxy
峡	mgud
巇	mhaa
幪	mhae
帱	mhdf
帏	mhfh
幅	mhgl
帻	mhgm
帔	mhhc
帖	mhhk
帧	mhhm
幔	mhjc
帽	mhjh
幌	mhjq
巾	mhk
贴	mhkg
帜	mhkw
帼	mhly
帆	mhmy
幄	mhnf
由	mhng
贝	mhny
幞	mhow
帕	mhrg
帙	mhrw
幖	mhsi
幡	mhtl
